PLAYLIST_REF, ID, Practiced, Feedback
1, 1513, 2023-02-12 21:08:57, 
1, 1732, 2023-02-21 22:30:38, 
1, 1782, 2021-08-30 23:36:00, 
1, 1814, 2021-08-05 21:54:49, 
1, 1830, 2021-08-20 23:03:57, 
1, 1855, 2021-08-27 23:56:27, 
1, 208, 2023-03-03 21:06:39, 
1, 474, 2023-01-05 22:18:20, 
1, 1230, 2022-08-06 20:14:35, 
1, 466, 2021-08-18 23:41:08, 
1, 833, 2023-02-01 23:25:58, 
1, 1335, 2021-08-16 23:13:37, 
1, 1409, 2023-03-26 22:51:55, 
1, 2052, 2023-03-27 22:14:48, 
1, 1750, 2023-03-21 23:53:01, 
1, 926, 2023-02-21 21:49:24, 
1, 1384, 2023-02-06 23:29:06, 
1, 1224, 2021-09-07 23:53:21, 
1, 1487, 2021-08-09 22:23:45, 
1, 234, 2023-01-05 21:16:57, 
1, 3923, 2022-12-29 20:27:34, 
1, 72, 2021-08-10 21:20:03, 
1, 1410, 2021-08-10 21:20:01, 
1, 153, 2023-04-07 22:29:03, 
1, 2862, 2021-09-07 23:34:30, 
1, 200, 2023-06-06 22:25:16, 
1, 241, 2023-01-09 21:55:04, 
1, 270, 2023-02-03 21:38:57, 
1, 420, 2023-03-18 22:13:59, 
1, 445, 2023-01-19 19:12:16, 
1, 499, 2021-09-06 19:48:45, 
1, 505, 2023-01-21 20:06:12, 
1, 537, 2023-02-28 23:59:19, 
1, 566, 2021-08-23 23:29:02, 
1, 3220, 2023-02-14 23:27:40, 
1, 641, 2023-03-12 13:51:31, 
1, 674, 2021-07-18 12:59:00, 
1, 690, 2023-02-24 23:06:03, 
1, 2336, 2021-09-07 23:53:21, 
1, 3988, 2023-01-01 20:57:08, 
1, 852, 2021-09-06 23:56:56, 
1, 869, 2021-08-13 23:55:18, 
1, 905, 2021-08-16 23:13:37, 
1, 927, 2023-01-29 20:42:12, 
1, 1071, 2023-06-04 23:15:39, 
1, 1077, 2021-08-16 23:13:37, 
1, 1104, 2023-03-18 22:38:11, 
1, 2806, 2021-08-20 23:03:57, 
1, 1151, 2023-01-27 21:26:05, 
1, 3116, 2023-02-18 11:21:42, 
1, 1168, 2023-03-14 21:59:39, 
1, 1184, 2021-08-05 21:54:49, 
1, 2107, 2021-09-06 20:09:26, 
1, 1233, 2023-01-14 20:54:19, 
1, 1272, 2023-06-05 23:21:40, 
1, 3440, 2023-02-21 22:23:02, 
